Enter RSS feed title|ใส่ชื่อ RSS
Enter RSS feed URL|ใส่ URL ของ RSS
Entertainment|ความบันเทิง
Error|ผิดพลาด
Evening|ตอนเย็น
Every 2 hours|ทุก 2 ชั่วโมง
Every 24 hours|ทุกๆ 24 ชั่วโมง
Every 30 Minutes|ทุกๆ 30 นาที
Every 30 minutes|ทุกๆ 30 นาที
Every 4 hours|ทุกๆ 4 ชั่วโมง
Every hour|ทุกๆ ชั่วโมง
Exit|ออกจากโปรแกรม
Experimental|ประสบการณ์
Experimental Settings|ตั้งค่าการทดลอง
Experimental settings|ตั้งค่าการทดลอง
Fahrenheit (#short)|ฟาเรนไฮธ
Failed to add contact|การเพิ่มรายชื่อล้มเหลว
Failed to load RSS|การโหลด RSS ล้มเหลว
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|การโหลดรายชื่อติดต่อล้มเหลว กรุณาลองเชื่อมต่อรายชื่อเข้ากับบัญชีกูเกิ้ล หรือบันทึกลงในมือถือ
Favorite Contacts|รายชื่อโปรด
Favorite contacts|รายชื่อโปรด
Favorites|รายการโปรด
February|กุมภาพันธ์
Filter|ตัวกรอง
First day of the week|วันแรกของสัปดาห์
First Quarter|ส่วนแรกจากสี่ส่วน
Flight|เที่ยวบิน
Folder|โฟลเดอร์
Folder Name|ชื่อโฟลเดอร์
Forecast|พยากรณ์อากาศ
from forecast|จากการพยากรณ์
Full Moon|ดวงจันทร์เต็มดวง
Gallery|แกลเลอรี
Games|เกมส์
Gemini|กลุ่มดาวมิถุน
Gravity|แรงโน้มถ่วง
Grayscale anaglyph (red/cyan)|เทาสามมิติ (แดง/ฟ้า)
Green|สีเขียว
G-Sensor|จีเซนเซอร์
Half an hour ago|ครึ่งชั่วโมงที่แล้ว
Hectopascals|เฮกโตปาสคาล
Hide Duplicates|ซ่อนรายการซ้ำ
Hide SIM Contacts|ซ่อนรายชื่อในซิม
Home|โฮม
Home Settings|ตั้งค่าโฮม
Home settings|ตั้งค่าโฮม
hpa|hPa
Humidity:|ความชื้นสัมพัทธ์:
in %u days|ใน %u วัน
in Home Settings|ตั้งค่าในโฮม
inch|นิ้ว
Inches|นิ้ว
Increase Counter|เพิ่มตัวนับ
Interface mode|โหมดอินเทอร์เฟส
Invisible|ซ่อน
January|มกราคม
July|กรกฎาคม
June|มิถุนายน
Kilometers per hour|กิโลเมตรต่อชั่วโมง
Knots|นอท
knots|นอท
kph|kph
kts|kts
Landscape|แนวนอน
Landscape orientation required to enable left-to-right stereo mode|หน้าจอแบบแนวนอนจะต้องเปิดใช้งานโหมดสเตริโอซ้ายไปขวา
Large|ใหญ่
Last Call|รายการโทรล่าสุด
Last Message|ข้อความล่าสุด
Last Quarter|ส่วนสุดท้ายจากสี่ส่วน
Last updated|อัพเดทล่าสุด
Left-to-right (HTC EVO 3D)|ซ้ายไปขวา (HTC EVO 3D)
Legal information|ข้อมูลทางกฏหมาย
Legal notices|คำชี้แจงทางกฎหมาย
Leo|กลุ่มดาวสิงห์
Libra|กลุ่มดาวตุลย์
Lifestyle|แบบไลฟ์สไตล์
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|การใช้งานภาพพื้นหลังแบบไลฟ์ อาจทำให้ประสิทธิภาพการทำงานในหน้าโฮมด้อยลง การสลับใช้งานระหว่างภาพพื้นหลังแบบปกติและแบบไลฟ์อาจใช้เวลาพอสมควร เราขอแนะนำให้ใช้ภาพพื้นหลังแบบปกติเพื่อการใช้งานที่สะดวกสบายที่สุดสำหรับคุณ
Loading failed|การโหลดล้มเหลว
Loading image for wallpaper|กำลังโหลดภาพพื้นหลัง
Loading RSS feed %s...|กำลังโหลดฟีด RSS %s
Loading skin failed!|การโหลดสกินล้มเหลว
Loading skins catalog failed!|การโหลดแคตตาล็อกสกินล้มเหลว
Loading...|กำลังโหลด...
Logging In...|กำลังเข้าสูระบบ...
Lunar Calendar|ปฏิทินพระจันทร์
Lunar day %d|จันทรคติ %d
Manage apps|จัดการโปรแรกม
Manage Apps|จัดการโปรแกรม
Manage panels|จัดการแผงควบคุม
Manage Panels|จัดการพาเนล
March|มีนาคม
May|พฤษภาคม
Medium|ปานกลาง
Messaging|ข้อความ
Meters per second|เมตรต่อวินาที
Miles per hour|ไมล์ต่อชั่วโมง
Millimetres|มิลลิเมตร
Misc|สายไม่ได้รับ
Miscellaneous|เบ็ดเตล็ด
mm|มม.
Mobile|มือถือ
Mode|โหมด
Monday|จันทร์
Moon|ดวงจันทร์
Moon Calendar|ปฏิทินดวงจันทร์
Moon in %s,|ดวงจันทร์ขึ้นใน %s,
Morning|ตอนเช้า
mph|mph
mps|mps
Multimedia|มัลติมีเดีย
Music|ดนตรี
Music albums|อัลบั้มเพลง
N|N
N/A|N/A
nd|.
NE|NE
Network Status|สถานะเครือข่าย
Never|ไม่
New|ใหม่
New Channel|ช่องรายการใหม่
New channel|ช่องรายการใหม่
New Contact|เพิ่มรายชื่อใหม่
New Folder|สร้างโฟลเดอร์
New Moon|ดวงจันทร์ใหม่
New update available|อัพเดทใหม่ได้ทันที
News|ข่าว
News Panel|พาเนลใหม่
News Panel Settings|ตั้งค่าพาเนลใหม่
next|ถัดไป
Next Alarm|ปลุกครั้งต่อไป
Night|กลางคืน
No|ไม่ใช่
no|ไม่ใช่
No Alarms|ไม่ตั้งปลุก
No birthdays|ไม่มีวันเกิด
No calls|ไม่มีการโทร
No Cities|ไม่มีเมือง
No conditions|ไม่มีเงื่อนไข
No Contacts.|ไม่มีรายชื่อติดต่อ
No Countries|ไม่มีประเทศ
No deals loaded|ไม่มีข้อเสนอโหลดไว้
No Images|ไม่มีภาพ
No messages|ไม่มีข้อความ
No news|ไม่มีข่าว
No rise/set info|ไม่มีข้อมูลดวงอาทิตย์ขึ้น/ตก
No RSS feed found at|ไม่พบข้อมูล RSS จาก
No rss loaded|ไม่ได้โหลด RSS
No SIM|ไม่มีซิม
No text messages|ไม่มีข้อความ
No title|ไม่มีหัวข้อ
No upcoming events|ไม่มีกิจกรรมเร็วๆ นี้
No upcoming events in a week|ไม่มีกิจกรรมระหว่างสัปดาห์นี้
No updates|ไม่มีการอัพเดท
No weather forecast|ไม่มีข้อมูลสภาพอากาศ
Normal|ปกติ
north|เหนือ
north east|ตะวันออกเฉียงเหนือ
north west|ตะวันตกเฉียงเหนือ
Not available|ใช้งานไม่ได้
Not connected|ไม่เชื่อมต่อ
Notes|บันทึกย่อ
Note's default color|สีเริ่มต้นของบันทึกย่อ
Note's font|อักษรของบันทึกย่อ
Notes Panel|พาเนลบันทึกย่อ
