 a few seconds| câteva sec.
Send Message|Trimite mesaj
Send MMS|Trimite MMS
Send SMS|Trimite SMS
September|Septembrie
Serial number:|Număr de serie
Set as Home|Setează ca Acasă
Set as Wallpaper|Setează ca tapet
Set wallpaper|Setează tapet
Settings|Setări
Show all|Arată tot
Show all day events|Afişează evenimentele ce durează toată ziua
Show all day events in calendar widgets|Afişează evenimentele ce durează toată ziua în widget-urile calendar
Silent|Silenţios
Skin loading|Încărcare faţetă
Small|Mic
Smartphone|Smartphone
Smog|Smog
Social|Social
Sound Profile|Profil sunet
south|sud
south east|sud-est
south west|sud-vest
SPB Shell 3D is loading...|SPB Shell 3D se încarcă...
SPB Wallpapers|Tapete SPB
SPB Widget|SPB Widget
st|ul
Standard Edition [Beta]|Ediţie standard [Beta]
Stereoscopic 3D mode|Mod stereoscopic 3D
Stereoscopic 3D Settings|Setări stereoscopic 3D
Sun in %s,|Soarele în %s,
Sunday|Duminică
SW|SV
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Comutarea modul interfață poate dura până la un minut. Orientarea ecranului va fi schimbată la '%s'.
System|Sistem
Tablet|Tabletă
Taurus|Taur
Temperatur scale|Scală temperatură
Temperature scale|Scală temperatură
Test Battery|Test baterie
th|.
Thank you for your support. Your copy is now registered.|Mulţumim pentru sprijin. Copia dvs. e înregistrată.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|Caracteristicile experimentale de mai jos nu sunt gata pentru a fi expediate în SPB Shell 3D. Acestea pot conţine defecte severe şi pot provoca instabilitatea sistemului. Folosiți-le pe propriul risc.
The maximum number of panels is reached|Numărul maxim de panouri este atins
The name cannot be changed.|Numele nu poate fii schimbat
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Lansarea anterioară a SPB Shell 3D nu a avut succes. Vă rugăm să apăsaţi "Reîncercaţi" pentru a o reporni sau "Acasă" pentru a activa un alt ecran Acasă.
Time|Timp
Time Panel|Panou timp
Time Panel Settings|Setări panou timp
Today|Azi
Toggle|Comutare
Tomorrow|Mâine
Tools|Instrumente
Travel|Călătorie
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Din păcate, nu am putut localiza achiziţia dvs. în Android Market. Vă rugăm să dezinstalaţi această copie înainte de a instala una nouă.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Din păcate nu am putut găsi achiziţia dvs.. Vă rugăm să dezinstalaţi această copie înainte de a instala una nouă.
Uninstall|Dezinstalare
Uninstall apps|Dezinstalare aplicaţii
Unknown|Necunoscut
Unknown location|Locaţie necunoscută
Upcoming events|Evenimente următoare
Update|Actualizare
Update deals list automatically|Actualizare automată listă oferte
Update Now|Actualizează acum
Update pictures page automatically|Actualizare pagină imagini automată
Update weather forecasts automatically|Actualizare automată prognoză meteo
Updated|Actualizat
Updated:|Actualizat:
Updating image|Actualizare imagine
Updating...|Actualizare ...
Use 3D in application list|Utilizează 3D în aplicaţii
Use 3D in edit mode|Utilizează 3D în modul editare
Use cellular connection for updating deals list|Utilizaţi conexiunea mobilă pentru actualizarea listei de oferte
Use cellular connection for updating pictures automatically|Utilizaţi conexiunea mobilă pentru actualizarea automată a imaginilor
Value|Valoare
variable|variabilă
Version %s, Build %s|Versiunea %s, Compilare %s
Vibro|Vibro
Video Call|Apel video
View Duplicates|Afişează duplicate
View SIM Contacts|Afişează contacte SIM
Virgo|Fecioară
W|V
Wallpaper|Tapet
Wallpapers|Tapete
Waning Crescent|Semilună în scădere
Waning Gibbous|Lună în scădere
Waxing Crescent|Semilună în creştere
Waxing Gibbous|Lună în creştere
Weather|Meteo
Weather and Clock|Vremea şi ceas
Weather Forecast|Prognoză meteo
Weather Settings|Setări vreme
west|vest
Widget is too big to be added.|Widget-ul este prea mare pentru a fi adăugat.
Widgets|Widget
Widgets Settings|Setări widget
Wind direction:|Direcţia vântului:
Wind speed scale|Scală viteză vânt
Wind speed:|Viteza vântului:
Wind:|Vânt:
Work|Servici
World Time|Timp universal
Wrong serial number. Please check it again.|Serie licenţă greşită. Vă rugăm să o verificaţi.
Yandex.Search|Yandex.Search
Yellow|Galben
Yes|Da
Yesterday|Ieri
You save|Salvezi
Your video system isn't compatible with Shell 3D.|Sistemul dvs. video nu este compatibil cu Shell 3D.
