Left-to-right (HTC EVO 3D)|Left-to-right (HTC EVO 3D)
Legal information|법률 정보
Legal notices|법적 공지
Leo|Leo
Libra|Libra
Lifestyle|라이프스타일
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|라이브 배경화면은 3D 홈 화면의 성능 저하를 유발할 수도 있습니다. 라이브 배경화면과 일반 배경화면 사이의 변경은 최대 1분이 걸릴 수도 있습니다. 최상의 경험을 위해 일반 배경화면 사용을 권장합니다.
Loading failed|불러오기 실패
Loading image for wallpaper|배경화면 이미지 불러오는 중
Loading RSS feed %s...|RSS 피드 %s 불러오는 중...
Loading skin failed!|스킨을 불러올 수 없습니다!
Loading skins catalog failed!|스킨 카탈로그를 불러올 수 없습니다!
Loading...|불러오는 중...
Logging In...|로그인 중...
Lunar Calendar|음력 달력
Lunar day %d|음력 %d일
Manage apps|어플 관리
Manage Apps|어플 관리
Manage panels|패널 관리
Manage Panels|패널 관리
March|3월
May|5월
Medium|중간
Messaging|메시지
Meters per second|미터/초
Miles per hour|마일/시간
Millimetres|밀리미터
Misc|기타
Miscellaneous|기타
mm|mm
Mobile|휴대폰
Mode|모드
Monday|월요일
Moon|달
Moon Calendar|달 달력
Moon in %s,|달: %s,
Morning|아침
mph|mph
mps|mps
Multimedia|멀티미디어
Music|음악
Music albums|음악 앨범
N|북
N/A|N/A
nd|번째
NE|북동
Network Status|네트워크 상태
Never|안 함
New|새로 만들기
New Channel|새 채널
New channel|새 채널
New Contact|새 연락처
New Folder|새 폴더
New Moon|초승달
News|뉴스
News Panel|뉴스 패널
News Panel Settings|뉴스 패널 설정
next|다음
Next Alarm|다음 경보
Night|밤
No|아니오
no|없음
No Alarms|경보 없음
No birthdays|생일 없음
No calls|통화 기록 없음
No Cities|도시 없음
No conditions|조건 없음
No Contacts.|연락처가 없습니다.
No Countries|국가 없음
No deals loaded|불러온 deal이 없음
No Images|이미지 없음
No messages|메시지 없음
No news|뉴스 없음
No rise/set info|오름/설정 정보 없음
No RSS feed found at|RSS 피드를 찾을 수 없음 -
No rss loaded|불러온 RSS 없음
No SIM|SIM 카드 없음
No text messages|문자 메시지 없음
No title|제목 없음
No upcoming events|일정 없음
No upcoming events in a week|1주일간 일정 없음
No updates|업데이트 없음
No weather forecast|날씨 예보 없음
Normal|보통
north|북쪽
north east|북동쪽
north west|북서쪽
Not available|이용할 수 없음
Not connected|연결되지 않음
Notes|노트
Note's default color|메모 기본 색
Note's font|메모 글꼴
Notes Panel|메모 패널
Notes Panel Settings|메모 패널 설정
November|11월
NW|북서
October|10월
Off|끄기
Offer|제공
On|켜기
One Touch Share|One Touch Share
Only on free connections|무료 연결만 사용
Open Contact|연락처 열기
Open in Browser|브라우저로 열기
OpenGL 2.0 is required to run SPB Shell 3D|SPB Shell 3D을 실행하려면 OpenGl 2.0이 필요합니다.
Optimized anaglyph (red/cyan)|최적화된 애너글리프 (빨강/녹청)
Other (assistant)|기타 (비서)
Page|페이지
Pages: %d, images: %d|쪽: %d, 이미지: %d
Panel Name|패널 이름
Panels|패널
Panels Settings|패널 설정
Parsing skins catalog failed!|스킨 구문 분석 실패!
Partly cloudy|부분 흐림
Partly cloudy, rain|부분 흐림, 비
Partly cloudy, snow|부분 흐림, 눈
Partly cloudy, thunder|부분 흐림, 천둥
People|사람
Performance Warning|성능 경고
Performance Warning dialog|성능 경고 대화 상자
Personal|개인
Phone|전화
Photo folder for gallery widgets|갤러리 위젯 사진 폴더
Picture Gallery|그림 갤러리
Picture of the Day|오늘의 그림
Picture Panel Settings|그림 패널 설정
Pictures|그림
Pictures Of The Day|오늘의 그림들
Pictures Panel|그림 패널
Pictures Panel Settings|그림 패널 설정
Pictures Settings|그림 설정
Pisces|Pisces
Please Log In|로그인해주세요
Please wait...|기다려 주세요.
Portrait|세로
Pressure:|압력:
Problem loading widget|위젯 불러오는 중 문제
Productivity|생산성
Program|프로그램
Pulkovo|Pulkovo
Purchase|구매
Purple|보라색
Quick Setting|빠른 설정
Radio off|무선 꺼짐
rd_loc|번째
Reading appointments...|일정 읽는 중...
Recycle Bin|휴지통
Red|빨간색
Reduced|줄어듬
Reload skin list|스킨 목록 다시 불러오기
Remove All|모두 제거
Rename|이름 바꾸기
Rename Panel|패널 이름 바꾸기
Requesting images|이미지 요청 중
Retry|다시 시도
Rise: %s|오름: %s
RSS Feed|RSS 피드
RSS Panel|RSS 패널
RSS Panel Settings|RSS 패널 설정
S|남
Safe mode|안전 모드
Sagittarius|Sagittarius
Saint-Petersburg|Saint-Petersburg
Save as New|새로 저장
Save to Existing|기존 파일에 저장
Scorpio|Scorpio
Screen orientation|화면 방향
Screen orientation will be changed to Landscape|화면 방향이 가로로 바뀝니다.
SE|남동
Searching|검색 중
Select Channel|채널 선택
Select cities|도시 선택
Select Contact Action|연락처 동작 선택
Select Contact Size|연락처 크기 선택
Select e-mail address|전자 메일 주소 선택
Select phone number:|전화 번호 선택:
Select shortcut|바로 가기 선택
Select Skin|스킨 선택
Select wallpaper from|배경화면 선택:
Selected cities|선택된 도시
Selected City|선택된 도시
Selected city|선택된 도시
Send Email|전자 메일 보내기
Send E-mail|전자 메일 보내기
Send E-Mail|전자 메일 보내기
Send Message|메시지 보내기
Send MMS|MMS 보내기
Send SMS|SMS 보내기
September|9월
Serial number:|제품 번호:
Set as Home|기본 화면으로 설정
Set as Wallpaper|배경화면으로 설정
Set wallpaper|배경화면 설정
Set: %s|설정: %s
Settings|설정
Show all|모두 표시
Show all day events|종일 행사 표시
Show all day events in calendar widgets|달력 위젯에 종일 행사 표시
Show full news|전체 뉴스 표시
Show images in news|뉴스에 이미지 표시
Silent|무음
Skin loading|스킨 불러오는 중
Small|작게
Smartphone|스마트폰
Smog|스모그
Social|사회
Social Network|소셜 네트워크
Sound Profile|소리 프로파일
south|남쪽
south east|남동쪽
south west|남서쪽
SPB Shell 3D is loading...|SPB Shell 3D 불러오는 중...
SPB Wallpapers|SPB 배경화면
SPB Widget|SPB 위젯
st|번째
Standard Edition [Beta]|스탠다드 버전 [베타]
Stereoscopic 3D mode|입체 3D 모드
Stereoscopic 3D mode will be disabled|입체 3D 모드가 해제됩니다.
Stereoscopic 3D Settings|입체 3D 설정
Sun in %s,|해: %s,
Sunday|일요일
SW|남서
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|인터페이스 모드로 전환하는데 1분 정도 걸릴 수 있습니다. 화면 방향이 '%s'로 변경됩니다.
System|시스템
Tablet|태블릿
Taurus|Taurus
Temperatur scale|온도 단위
Temperature scale|온도 단위
Test Battery|테스트 배터리
th|번째
Thank you for your support. Your copy is now registered.|감사합니다. 등록되었습니다.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|아래의 실험적 기능들은 SPB Shell 3D에 포함될 준비가 되어있지 않습니다. 이 기능들은 심각한 결점을 가지고 있을 수도 있고 시스템 불안을 야기할 수도 있습니다. 이 기능들을 사용하는 것은 사용자의 책임입니다.
The maximum number of panels is reached|패널 최대 숫자에 도달했습니다.
The name cannot be changed.|이름을 변경할 수 없습니다.
