 a few seconds| nekoliko sekundi
System|Sustav
Tablet|Tablet
Taurus|Bik
Temperatur scale|Temperaturna ljestvica
Temperature scale|Temperaturna ljestvica
Test Battery|Testiranje baterije
th|ti
Thank you for your support. Your copy is now registered.|Hvala na podršci. Vaša kopija je sada registrirana.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|Eksperimentalne značajke ispod nisu spremne da se dostave u jezgru proizvoda SPB Shell 3D. Oni mogu sadržavati teška oštećenja i prouzročiti nestabilnost sustava. Koristite ih na vlastitu odgovornost.
The maximum number of panels is reached|Dostignut je maksimalni broj ploča
The name cannot be changed.|Naziv se ne smije mijenjati.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Prethodno pokretanje proizvoda SPB Shell 3D nije bilo uspješno. Dodirnite "Pokušaj ponovno" da biste ga ponovno pokrenuli ili "Početna" za aktiviranje drugog početnog zaslona.
Time|Vrijeme
Time Panel|Vremenska ploča
Time Panel Settings|Postavke vremenske ploče
Today|Danas
Toggle|Prekidač
Tomorrow|Sutra
Tools|Alati
Travel|Putovanje
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Nažalost, ne možemo pronaći Vaše podatke o kupnji u prodavaonici androida. Molimo da deinstalirate ovu kopiju prije instaliranja nove.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Nažalost, ne možemo pronaći Vaše podatke o kupnji. Molimo da deinstalirate ovu kopiju prije instaliranja nove.
Uninstall|Deinstaliranje
Uninstall apps|Deinstaliranje aplikacija
Unknown|Nepoznate
Unknown location|Nepoznata lokacija
Upcoming events|Nadolazeći događaji
Update|Ažuriraj
Update deals list automatically|Automatsko ažuriranje popisa poslova
Update Now|Ažuriraj sada
Update pictures page automatically|Automatsko ažuriranje stranice sa slikom
Update weather forecasts automatically|Automatsko ažuriranje vremenske prognoze
Updated|Ažurirano
Updated:|Ažurirano:
Updating image|Ažuriranje slike
Updating...|Ažuriranje...
Use 3D in application list|Koristite 3D na popisu aplikacija
Use 3D in edit mode|Koristite 3D u modusu uređivanja
Use cellular connection for updating deals list|Za ažuriranje popisa poslova koristite mobilni priključak
Use cellular connection for updating deals list automatically|Koristite celularno povezivanje za automatsko ažuriranje popisa ponuda
Use cellular connection for updating pictures automatically|Za automatsko ažuriranje slika koristite mobilni priključak
Use cellular connection for updating weather automatically|Koristite celularno povezivanje za automatsko ažuriranje vremena
Use new color every time|Svaki put koristite novu boju
Use previous note's color|Koristite boju prethodne napomene
Value|Vrijednost
variable|varijabla
Version %s, Build %s|Verzija %s, konstruirano %s
Vibro|Vibro
Video Call|Video poziv
View Duplicates|Prikaži duplikate
View SIM Contacts|Prikaži SIM kontakte
Virgo|Djevica
W|W
Wallpaper|Pozadina
Wallpapers|Pozadine
Waning Crescent|Zadnja četvrt u padu
Waning Gibbous|Puni mjesec u padu
Waxing Crescent|Mladi mjesec u rastu
Waxing Gibbous|Prva četvrt u rastu
Weather|Vrijeme
Weather and Clock|Vrijeme i sat
Weather Forecast|Vremenska prognoza
Weather Settings|Postavke vremena
Welcome to notes panel|Dobrodošli na ploču s napomenama
west|zapad
Widget is too big to be added.|Dodatak je prevelik za dodavanje.
Widgets|Dodaci
Widgets Settings|Postavke dodataka
Wind direction:|Smjer vjetra:
Wind speed scale|Ljestvica brzine vjetra
Wind speed:|Brzina vjetra:
Wind:|Vjetar:
Work|Radni
World Time|Svjetsko vrijeme
Wrong serial number. Please check it again.|Pogrešni serijski broj. Provjerite ponovno.
Yandex.Search|Yandex.Search
Yellow|Žuto
Yes|Da
Yesterday|Jučer
You save|Uštedili ste
Your video system isn't compatible with Shell 3D.|Vaš video sustav nije kompatibilan sa Shell 3D.
