Grayscale anaglyph (red/cyan)|Gri tonlama anagilif (kırmızı/petrol yeşili)
Green|Yeşil
G-Sensor|G-Sensör
Half an hour ago|Yarım saat önce
Hectopascals|Hektopaskal
Hide Duplicates|Yinelenenleri Gizle
Hide SIM Contacts|SİM Kişilerini Sakla
Home|Ana
Home Settings|Giriş sayfası Ayarları
Home settings|Giriş sayfası ayarları
hpa|hpa
Humidity:|Nem:
in %u days|%u gün içinde
in Home Settings|Giriş Ayarlarında
inch|inç
Inches|İnç
Increase Counter|Sayacı Artır
Interface mode|Arabirim modu
Invisible|Görünmez
January|Ocak
July|Temmuz
June|Haziran
Kilometers per hour|Kilometre saat
Knots|Knot
knots|knot
kph|km/s
kts|kt
Landscape|Yatay
Landscape orientation required to enable left-to-right stereo mode|Soldan sağa stereo modu için yatay yönü etkinleştrmek gerekli
Large|Büyük
Last Call|Son Görüşme
Last Message|Son Mesaj
Last Quarter|Son Çeyrek
Last updated|Son güncelleştirme
Left-to-right (HTC EVO 3D)|Soldan sağa (HTC EVO 3D)
Legal information|Yasal bilgi
Legal notices|Yasal uyarı
Leo|Aslan
Libra|Terazi
Lifestyle|Yaşamstili
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Canlı duvarkağıtları 3B giriş ekranında performans düşüklüğüne sebep olabilir. Canlı ve statik duvarkağıtları arasındaki geçiş bir dakikayı alabilir. En iyi performans tecrübesi için statik duvar kağıtları önerilir.
Loading failed|Yükleme Başarısız oldu
Loading image for wallpaper|Duvarkağıdı için görüntü yükleniyor
Loading RSS feed %s...|RSS akışı yükleniyor %s...
Loading skin failed!|Dış görünüm yüklemesi başarısız oldu!
Loading skins catalog failed!|Dış görünüm kataloğu yüklemesi başarısız oldu!
Loading...|Yükleniyor...
Logging In...|Oturum Açılıyor...
Lunar Calendar|Ay Takvimi
Lunar day %d|%d Ay günü
Manage apps|Uygulamaları yönet
Manage Apps|Uygulamaları Yönet
Manage panels|Panelleri yönet
Manage Panels|Panelleri Yönet
March|Mart
May|Mayıs
Medium|Orta
Messaging|Mesaj
Meters per second|Metre saniye
Miles per hour|Mil saat
Millimetres|Milimetre
Misc|Çeşitli
Miscellaneous|Çeşitli
mm|mm
Mobile|Cep
Mode|Mod
Monday|Pazartesi
Moon|Ay
Moon Calendar|Ay Takvimi
Moon in %s,|%s'de Ay,
Morning|Sabah
mph|mil/saat
mps|metre/saniye
Multimedia|Multimedya
Music|Müzik
Music albums|Müzik albümleri
N|K
N/A|Yok
nd|nci
NE|KD
Network Status|Ağ Durumu
Never|Asla
New|Yeni
New Channel|Yeni Kanal
New channel|Yeni Kanal
New Contact|Yeni Kişi
New Folder|Yeni Klasör
New Moon|Yeni ay
News|Haberler
News Panel|Haber Paneli
News Panel Settings|Haber Paneli Ayarları
next|sonraki
Next Alarm|Sonraki Alarm
Night|Gece
No|Hayır
no|Yok
No Alarms|Alarm Yok
No birthdays|Doğumgünü yok
No calls|Arama yok
No Cities|Şehir Yok
No conditions|Koşul yok
No Contacts.|Kişi Yok.
No Countries|Ülke yok
No deals loaded|Hiç bir kampanya yüklenmedi
No Images|Resim Yok
No messages|Mesaj yok
No news|Haber yok
No rise/set info|Batım/doğum bilgisi yok
No RSS feed found at|RSS akışı bulunmadı
No rss loaded|RSS yüklü değil
No SIM|SIM Takılı Değil
No text messages|Mesaj yok
No title|Başlık yok
No upcoming events|Yaklaşan etkinlik yok
No upcoming events in a week|Hafta içinde yaklaşan etkinlik yok
No updates|Güncelleme yok
No weather forecast|Hava tahmini yok
Normal|Normal
north|kuzey
north east|kuzey doğu
north west|kuzey batı
Not available|Yok
Not connected|Bağlı değil
Notes|Notlar
Note's default color|Not'ların varsayılan rengi
Note's font|Not'ların yazı tipi
Notes Panel|Not Paneli
Notes Panel Settings|Not Paneli Ayarları
November|Kasım
NW|KB
October|Ekim
Off|Kapalı
Offer|Teklif
On|Açık
One Touch Share|One Touch Share
Only on free connections|Sadece ücretsiz bağlantılarda
Open Contact|Kişi Aç
Open in Browser|Tarayıcıda Aç
OpenGL 2.0 is required to run SPB Shell 3D|SPB Shell 3D'yi çalıştırmak için OpenGL 2.0 gerekli
Optimized anaglyph (red/cyan)|İyileştirilmiş anagilif (kırmızı/petrol yeşili)
Other (assistant)|Diğer (yardımcı)
Page|Sayfa
Pages: %d, images: %d|Sayfa: %d, görüntü: %d
Panel Name|Panel Adı
Panels|Paneller
Panels Settings|Panel Ayarları
Parsing skins catalog failed!|Dış görünüm kataloğu ayrıştırması başarısız oldu!
Partly cloudy|Parçalı bulutlu
Partly cloudy, rain|Parçalı bulutlu, yağmurlu
Partly cloudy, snow|Parçalı bulutlu, karlı
Partly cloudy, thunder|Parçalı bulutlu, fırtınalı
People|Kişiler
Performance Warning|Performans Uyarısı
Performance Warning dialog|Performans Uyarı iletişim kutusu
Personal|Kişisel
Phone|Telefon
Photo folder for gallery widgets|Galeri pencere öğeleri için resim klasörü
Picture Gallery|Resim Galerisi
Picture of the Day|Günün Resmi
Picture Panel Settings|Resim Paneli Ayarları
Pictures|Resimler
Pictures Of The Day|Günün Resimleri
Pictures Panel|Resim Paneli
Pictures Panel Settings|Resimler Paneli Ayarları
Pictures Settings|Resim Ayarları
Pisces|Balık
Please Log In|Lütfen Çevrimiçi Olun
Please wait...|Lütfen bekleyin
Portrait|Dikey
Pressure:|Basınç:
Problem loading widget|Pencere öğeleri yükleme problemi
Productivity|Üretkenlik
Program|Program
Pulkovo|Pulkovo
Purchase|Satın Al
Purple|Mor
Quick Setting|Hızlı Ayar
Radio off|Radyo kapalı
rd_loc|ncü
Reading appointments...|Randevuları okuyor...
Recycle Bin|Geri Dönüşüm Kutusu
Red|Kırmızı
Reduced|Sınırlı
Reload skin list|Dış Görünüm listesi yeniden yükleniyor
Remove All|Tümünü Sil
Rename|Yeniden adlandır
Rename Panel|Paneli Yeniden adlandır
Requesting images|Görüntüler isteniyor
Retry|Tekrar dene
Rise: %s|Doğuş: %s
RSS Feed|RSS Akışı
RSS Panel|RSS Paneli
RSS Panel Settings|RSS Paneli Ayarları
S|G
Safe mode|Güvenli mod
Sagittarius|Yay
Saint-Petersburg|Saint-Petersburg
Save as New|Yeni olarak Kaydet
Save to Existing|Varolana Kaydet
Scorpio|Akrep
Screen orientation|Ekran hizalaması
Screen orientation will be changed to Landscape|Ekran yönlendirilmesi Yataya değiştirilecek
SE|GD
Searching|Aranıyor
Select Channel|Kanal seç
Select cities|Şehir seçin
Select Contact Action|Kişi Eylemi Seç
Select Contact Size|Kişi Boyutu Seç
Select e-mail address|E-posta adresi seçin
Select phone number:|Telefon numarası seçin
Select shortcut|Kısayol seçin
Select Skin|Dış Görünüm Seçin
Select wallpaper from|Duvarkağıtları seçin
Selected cities|Seçilen şehirler
Selected City|Seçilen Şehir
Selected city|Seçilen şehir
Send Email|Eposta Gönder
Send E-mail|E-posta Gönder
Send E-Mail|E-Posta Gönder
Send Message|Mesaj Gönder
Send MMS|MMS Gönder
Send SMS|SMS Gönder
September|Eylül
Serial number:|Seri Numarası:
Set as Home|Giriş Sayfası olarak Ayarla
Set as Wallpaper|Duvarkağıdı olarak ayarla
Set wallpaper|Duvarkağıdı Ayarla
Set: %s|Kur: %s
Settings|Ayarlar
Show all|Tümünü göster
Show all day events|Günün tüm olaylarını göster
Show all day events in calendar widgets|Takvim pencere öğesinde tüm gün etkinliklerini göster
Show full news|Haberleri tam göster
Show images in news|Haberlerde görüntü göster
Silent|Sessiz
Skin loading|Dış görünüm yükleniyor
Small|Küçük
Smartphone|Akıllı telefon
Smog|Sis
Social|Sosyal
Social Network|Sosyal Ağ
Sound Profile|Ses Profili
south|güney
south east|güney doğu
south west|güney batı
SPB Shell 3D is loading...|SPB Shell 3D yükleniyor...
SPB Wallpapers|SPB Duvarkağıtları
SPB Widget|SPB Widget
st|nci
Standard Edition [Beta]|Standart Sürüm [Beta]
Stereoscopic 3D mode|Stereoskopik 3B modu
Stereoscopic 3D mode will be disabled|stereoskopik 3B modu etkisizleştirilecek
Stereoscopic 3D Settings|Stereoskopik 3B Ayarları
Sun in %s,|%s içinde güneş,
Sunday|Pazar
SW|GB
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Arabirim modunu değiştirmek bir dakika sürebilir. Ekran hizalama '%s'e değiştirilecek.
System|Sistem
Tablet|Tablet
Taurus|Boğa
Temperatur scale|Sıcaklık ölçeği
Temperature scale|Sıcaklık ölçeği
Test Battery|Bataryayı Test Et
th|.
Thank you for your support. Your copy is now registered.|Desteğiniz için teşekkürler. Ürününüz şimdi tescillendi.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|SPB Shell 3D'nin çekirdeklerinde alttaki deneysel özellikler gönderilmeye hazır değildir. Çeşitli hatalar ve sistem sistem kararsızlığı içerebilir. Riskleri bilerek ve kabul ederek kullanın.
The maximum number of panels is reached|Panel için en yüksek numaraya ulaşıldı.
The name cannot be changed.|Ad değiştirilemez.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|SPB Shell 3D'nin önceki yüklemesi başarısız oldu. Tekrar açmak için lütfen "Tekrar Dene"ye basın yada "Giriş Sayfası"na basın farklı bir giriş sayfası etkinleştirmek için.
Time|Zaman
Time Panel|Zaman Paneli
Time Panel Settings|Zaman Paneli Ayarları
Today|Bugün
Toggle|Aç/Kapat
Tomorrow|Yarın
Tools|Araçlar
Travel|Seyahat
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Maalesef, Android Market'de satın alınmış bulunmuyor. Yenisini yüklemeden önce bu kopyayı kaldırın.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Maalesef, satın alınmış bulunmuyor. Yenisini yüklemeden önce bu kopyayı kaldırın.
Uninstall|Kaldır
Uninstall apps|Uygulamaları kaldır
Unknown|Bilinmiyor
Unknown location|Bilinmeyen konum
Upcoming events|Yaklaşan etkinlikler
Update|Güncelle
Update deals list automatically|Kampanya listesini otomatik güncelle
Update Now|Şimdi Güncelle
Update pictures page automatically|Resimler sayfasını otomatik güncelle
Update weather forecasts automatically|Hava Durumunu otomatik güncelle
Updated|Güncellendi
Updated:|Güncellendi:
Updating image|Görüntü güncelleniyor
Updating...|Güncelleniyor...
Use 3D in application list|Uyguluma listesinde 3B kullan
Use 3D in edit mode|Düzenleme modunda 3B kullan
Use cellular connection for updating deals list|Kampanya listesini güncellemek için cep telefonu internet bağlantısını kullan
Use cellular connection for updating deals list automatically|Fırsatlar listesini otomatik olarak güncellemek için cep telefonu şebekesini kullan
Use cellular connection for updating pictures automatically|Resimleri otomatik güncellemek için cep telefonu internet bağlantısını kullan
Use cellular connection for updating weather automatically|Hava Durumunu otomatik olarak güncellemek için cep telefonu şebekesini kullan
Use new color every time|Her zaman yeni renk kullan
Use previous note's color|Önceki not'un rengini kullan
Value|Değer
variable|değişken
Version %s, Build %s|Versiyon %s, Yapı %s
Vibro|Vibro
Video Call|Görüntülü Arama
View Duplicates|Yinelenenleri Görüntüle
View SIM Contacts|SİM Kişilerini Görüntüle
Virgo|Başak
W|B
Wallpaper|Duvar kağıdı
Wallpapers|Duvar kağıtları
Waning Crescent|Hilal
Waning Gibbous|Konveks
Waxing Crescent|Hilal
Waxing Gibbous|Üçünci Dördün
Weather|Hava Durumu
Weather and Clock|Hava Durumu ve Saat
Weather Forecast|Hava Tahmini
Weather Panel Settings|Hava Durumu Paneli Ayarları
Weather Settings|Hava Durumu Ayarları
Welcome to notes panel|Not paneline hoşgeldiniz
west|batı
Widget is too big to be added.|Pencere öğesi eklemek için çok büyük.
Widgets|Pencere öğeleri
Widgets Settings|Pencere öğeleri Ayarları
Wind direction:|Rüzgar yönü:
Wind speed scale|Rüzgar hızı ölçeği
Wind speed:|Rüzgar hızı:
Wind:|Rüzgâr:
Work|İş
World Time|Dünya Saatleri
Wrong serial number. Please check it again.|Yanlış seri numarası. Lütfen tekrar kontrol edin.
Yandex.Search| Yandex.Web arama
Yellow|Sarı
Yes|Evet
Yesterday|Dün
You save|Kaydedin
Your video system isn't compatible with Shell 3D.|Video sisteminiz Shell 3D ile uyumlu değil.
