Increase Counter|Didinti skaičių
Interface mode|Sąsajos režimas
Invisible|Nematomas
January|Sausis
July|Liepa
June|Birželis
Kilometers per hour|Km/val.
Knots|mazgai
knots|mazgai
kph|k/val.
kts|mazg.
Landscape|Gulsčias
Landscape orientation required to enable left-to-right stereo mode|Kraštovaizdžio padėtis, reikalinga įjungti stereo režimą iš kairės į dešinę
Large|Didelis
Last Call|Paskutinis skambutis
Last Message|Paskutinis pranešimas
Last Quarter|Delčia
Last updated|Paskutinį kartą atnaujinta
Left-to-right (HTC EVO 3D)|Iš kairės į dešinę (HTC EVO 3D)
Legal information|Teisinė informacija
Legal notices|Teisinės pastabos
Leo|Liūtas
Libra|Svarstyklės
Lifestyle|Gyvenimo būdas
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Realiojo laiko tapetai gali nulemti 3D pagrindinio ekrano prastesnį veikimą. Persijungti tarp realiojo laiko ir statiškų tapetų gali užtrukti iki minutės. Geriausiai patirčiai rekomenduojami statiški tapetai.
Loading failed|Įkelti nepavyko
Loading image for wallpaper|Atsisiunčiamas tapeto paveikslėlis
Loading RSS feed %s...|Įkeliamas RSS srautas %s...
Loading skin failed!|Atsisiųsti apipavidalinimo nepavyko!
Loading skins catalog failed!|Įkelti apipavidalinimų katalogo nepavyko!
Loading...|Įkeliama...
Logging In...|Prisiregistruojama...
Lunar Calendar|Mėnulio kalendorius
Lunar day %d|%d mėnulio kal. diena
Manage apps|Tvarkyti programas
Manage Apps|Tvarkyti programas
Manage panels|Tvarkyti ekranus
Manage Panels|Tvarkyti ekranus
March|Kovas
May|Gegužė
Messaging|Pranešimai
Meters per second|M/s
Miles per hour|Myl./val.
Millimetres|Milimetrai
Misc|Įvairūs
Miscellaneous|Įvairūs
mm|mm
Mobile|Mobilusis
Mode|Režimas
Monday|Pirmadienis
Moon|Mėnulis
Moon Calendar|Mėnulio kalendorius
Moon in %s,|Mėnulis šiame ženkle: %s,
Morning|Rytas
mph|myl./val.
mps|mps
Multimedia|Daugialypė terpė
Music|Muzika
Music albums|Muzikos albumai
N|Š
N/A|NĖRA
nd|-as
NE|ŠR
Network Status|Tinklo būsena
Never|Niekada
New Channel|Naujas kanalas
New channel|Naujas kanalas
New Contact|Naujas kontaktas
New Folder|Naujas aplankas
New Moon|Jaunatis
News|Naujienos
News Panel|Naujienų ekranas
News Panel Settings|Naujienų ekrano nustatymai
next|toliau
Next Alarm|Kitas signalas
Night|Naktis
No|Ne
no|ne
No Alarms|Signalų nėra
No birthdays|Gimtadienių nėra
No calls|Skambučių nėra
No Cities|Miestų nėra
No conditions|Sąlygų nėra
No Contacts.|Kontaktų nėra.
No Countries|Šalių nėra
No deals loaded|Pasiūlymų neįkelta
No Images|Paveikslėlių nėra
No messages|Pranešimų nėra
No news|Naujienų nėra
